Domains,Malicious
app-discord.net,1
app-discord.ru,1
app-discordc.com,1
app-discords.com,1
app-game.com.ru,1
app-gifts.ru,1
app-hypesquad.com,1
app-hypesquad.online,1
app-hypesquadevents.com,1
app-hypesqueadevents.com,1
app-moderation-join.com,1
app-moderator.com,1
app-nitro.com,1
app-nitro.ru,1
app.sololearn.com,0
appeal-hypesquad.com,1
appear.in,0
appgifts-z.ru,1
appinventor.mit.edu,0
apple.com,0
application-academy.com,1
application-discord.com,1
application-hypesquad-events.com,1
application-hypesquad.cf,1
application-hypesquad.com,1
application-hypesquad.ml,1
application-hypesquadevents.com,1
application-hypevents.com,1
application-moderation.com,1
application-moderator-join.com,1
application-moderator.com,1
application-moderatoracademy.com,1
application-moderators.com,1
application-recruitment.com,1
application-testers-beta.com,1
application-testers.com,1
application-the-discord.com,1
application-to-hypesquad.com,1
application.sonymusic.co.jp,0
applicationmoderator.com,1
applicationmoderatoracademy.com,1
applications-beta.com,1
applications-discord.com,1
applications-hypesquad.com,1
applications-hypesquadevents.com,1
applicationsdiscord.com,1
applicationsformularyhypesquad.com,1
applicaton-on-hypeteams.com,1
applicy-moderator.com,1
applk-moderador-discord.tk,1
apply-beta-register.gq,1
apply-certified-moderator-exam.com,1
apply-discord-academy.com,1
apply-discord-events.com,1
apply-discord-hypesquad.com,1
apply-discord-moderator.com,1
apply-discord.com,1
apply-discordacademy.com,1
apply-discordmoderatoracademy.com,1
apply-event-hypesquad.com,1
apply-events.com,1
apply-events.ga,1
apply-events.gq,1
apply-for-hype-2022.com,1
apply-for-hypeevents.com,1
apply-for-hypesquad-rescue.com,1
apply-for-hypesquad.com,1
apply-for-hypeteam.com,1
apply-for-hypeteam.gq,1
apply-for-hypeteams-event.com,1
apply-for-hypeteams.com,1
apply-for-mod.com,1
apply-formulary-events.club,1
apply-formulary-trial-hypesquad.com,1
apply-formulary.com,1
apply-hunters.com,1
apply-hype-squad-event.com,1
apply-hype-squad-team.com,1
apply-hype-squad.com,1
apply-hypeacademyteam.gq,1
apply-hypeevent.com,1
apply-hypeevents-squad.com,1
apply-hypeevents.com,1
apply-hypeevents.gq,1
apply-hypesquad-2022.com,1
apply-hypesquad-beta.com,1
apply-hypesquad-event.xyz,1
apply-hypesquad-events.com,1
apply-hypesquad-events.tk,1
apply-hypesquad-exam.com,1
apply-hypesquad-house.com,1
apply-hypesquad-official.com,1
apply-hypesquad-picked.tk,1
apply-hypesquad-program.com,1
apply-hypesquad-programs.com,1
apply-hypesquad-team-formulary.com,1
apply-hypesquad-team.com,1
apply-hypesquad-teams.tk,1
apply-hypesquad.club,1
apply-hypesquad.com,1
apply-hypesquad.ga,1
apply-hypesquad.team,1
apply-hypesquad.tk,1
apply-hypesquad.uk,1
apply-hypesquadevents-new.com,1
apply-hypesquadevents-team.com,1
apply-hypesquadevents.club,1
apply-hypesquadevents.com,1
apply-hypesquadeventsreturn.com,1
apply-hypesquadrecruit.com,1
apply-hypesquadsevent.com,1
apply-hypesquadteam.com,1
apply-hypesquadteam.gq,1
apply-hypeteam-register.gq,1
apply-hypeteam.com,1
apply-hypeteams-event.com,1
apply-hypevents.com,1
apply-mod-exam.com,1
apply-mod-exams.com,1
apply-moderation.com,1
apply-moderations.com,1
apply-moderator-academy.com,1
apply-moderator-discord.com,1
apply-moderator-exam.com,1
apply-moderator-team.com,1
apply-moderator.com,1
apply-moderatoracademy.com,1
apply-moderatorexam.com,1
apply-to-hypesquad-exam.com,1
apply-to-hypesquad.com,1
apply-to-hypeteams.com,1
applydforhypesquad.com,1
